Contraction,Full form
ain't,am not
aren't,are not
can't,cannot
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
he'd,he had
he'd,he would
he'll,he shall
he'll,he will
he's,he is
he's,he has
Td,I would
I'd,I had
I'll,I shall
I'll,I will
I'm,I am
I've,I have
isn't,is not
let's,let us
mightn't,might not
mustn't,must not
shan't,shall not
she'd,she had
she'd,she would
she'll,she will
she'll,she shall
she's,she is
she's,she has
shouldn't,should not
that's,that is
that's,that has
there's,there is
there's,there has
they'd,they would
they'd,they had
they'll,they will
they'll,they shall
they're,they are
they've,they have
we'd,we would
we'd,we had
we're,we are
we've,we have
weren't,were not
what'U,what shall
what'll,what will
what're,what are
what's,what is
what's,what has
what've,what have
where's,where has
where's,where is
who's,who had
who's,who would
who'll,who will
who'll,who shall
who're,who are
who's,who has
who's,who is
who've,who have
won't,will not
wouldn't,would not
would've,would have
you'd,you had
you'd,you would
you'll,you will
you'll,you shall
you're,you are
you've,you have
that'll,that will
it's,it is
we'll,we will
we'll,we shall
it'd,it would
it'd,it had
