Abbreviations,Full form
e.g.,for example
i.e.,that is
etc.,and so on
ok,Okay
Jan.,January
Feb.,February
Mar.,March
Apr.,April
May.,May
Jun.,June
Jul.,July
Aug.,August
Sep.,September
Oct.,October
Nov.,November
Dec.,December
Sat.,Saturday
Sun.,Sunday
Mon.,Monday
Tue.,Tuesday
Wed.,Wednesday
Thu.,Thursday
Fri.,Friday
plane,airplane
lab.,laboratory
asap,as soon as possible
USA,United States of America
tons,tonnes
undergrad.,undergraduate
grad.,graduate
HR,Human Resources
Prof.,Professor
AI,Artificial Intelligence
ur,your
&,and
abt,about
mt,might
mt.,might
shd,should
shd.,should
wch,which
wd,would
wd.,would
wh,which
wh.,which
yr,your
yr.,your
yrs,yours
yrs.,yours
2d,second
2n,second
3d,third
acct,account
acct.,account
advt,advertisement
aftern,afternoon
aftern.,afternoon
aftn,afternoon
aftn.,afternoon
AM,ante meridiem
AM,ante meridiem
anti-Cathc.,anti-Catholic
Arc.,Archaeological
Ass.,Association
B.M.,British Museum
bkfst,breakfast
bkfst.,breakfast
brkfst,breakfast
C.B.E.,Commander of the Order
cent,century
chap,chapter
chap.,chapter
chaps,chapters
depart.,department
edn,edition
Eng.,English
H. ofLds,House of Lords
Hist.,History
hrs.,hours
in.,inches
Ld.,Lord
Ldy,Lady
Ldy.,Lady
lovg,loving
Ly,Lady
Ly.,Lady
max.,maximum
mem.,memoires
min.,minutes
min:,minutes
Phys.,Physical
prob.,probably
recvd,received
Secty.,Secretary
temp.,temperature
to =,to equal
Trans.,Transactions
Univ.,University
vol.,volume
Xmas,Christmas
Xtian,Christian
yestdy,yesterday
yrs,years
acad.,academic
adm.,administration
bib.,bible
